Fecha;DolarBNA;DolarDivisaBNA;DolarAmbito
2/1/2003;3.36;3.35;3.38
3/1/2003;3.33;3.34;3.36
6/1/2003;3.33;3.33;3.35
7/1/2003;3.29;3.28;3.30
8/1/2003;3.29;3.30;3.32
10/1/2003;3.35;3.35;3.39
13/1/2003;3.35;3.33;3.37
14/1/2003;3.30;3.25;3.31
15/1/2003;3.23;3.23;3.26
16/1/2003;3.24;3.26;3.29
17/1/2003;3.24;3.22;3.27
20/1/2003;3.19;3.19;3.21
21/1/2003;3.13;3.10;3.14
22/1/2003;3.06;3.11;3.14
23/1/2003;3.12;3.14;3.18
24/1/2003;3.17;3.22;3.24
27/1/2003;3.26;3.32;3.34
28/1/2003;3.34;3.32;3.35
29/1/2003;3.34;3.31;3.34
30/1/2003;3.24;3.25;3.28
31/1/2003;3.18;3.21;3.23
3/2/2003;3.20;3.18;3.23
4/2/2003;3.16;3.17;3.19
5/2/2003;3.15;3.16;3.19
6/2/2003;3.15;3.15;3.18
7/2/2003;3.15;3.15;3.19
10/2/2003;3.15;3.13;3.17
11/2/2003;3.10;3.11;3.14
12/2/2003;3.08;3.11;3.13
13/2/2003;3.12;3.14;3.16
14/2/2003;3.19;3.18;3.22
17/2/2003;3.16;3.16;3.19
18/2/2003;3.16;3.17;3.19
19/2/2003;3.18;3.19;3.22
20/2/2003;3.23;3.21;3.25
24/2/2003;3.18;3.17;3.20
25/2/2003;3.15;3.16;3.19
26/2/2003;3.16;3.17;3.20
27/2/2003;3.18;3.19;3.22
28/2/2003;3.20;3.19;3.22
3/3/2003;3.22;3.21;3.24
4/3/2003;3.20;3.18;3.21
5/3/2003;3.17;3.17;3.21
6/3/2003;3.18;3.18;3.21
7/3/2003;3.17;3.16;3.19
10/3/2003;3.15;3.14;3.18
11/3/2003;3.14;3.13;3.17
12/3/2003;3.11;3.11;3.15
13/3/2003;3.11;3.12;3.15
14/3/2003;3.12;3.12;3.15
17/3/2003;3.10;3.10;3.13
18/3/2003;3.07;3.06;3.10
19/3/2003;3.02;3.01;3.05
20/3/2003;3.02;3.03;3.07
21/3/2003;3.04;3.02;3.06
24/3/2003;3.01;2.99;3.02
25/3/2003;2.94;2.94;2.97
26/3/2003;2.90;2.90;2.92
27/3/2003;2.87;2.88;2.89
28/3/2003;2.96;2.98;3.02
1/4/2003;2.98;2.96;3.00
2/4/2003;2.92;2.90;2.94
3/4/2003;2.90;2.90;2.93
4/4/2003;2.90;2.90;2.93
7/4/2003;2.89;2.90;2.93
9/4/2003;2.92;2.92;2.94
10/4/2003;2.90;2.89;2.92
11/4/2003;2.89;2.90;2.92
14/4/2003;2.92;2.93;2.96
15/4/2003;2.96;2.95;2.98
16/4/2003;2.94;2.93;2.96
21/4/2003;2.90;2.89;2.92
22/4/2003;2.86;2.85;2.87
23/4/2003;2.84;2.84;2.87
24/4/2003;2.85;2.86;2.90
25/4/2003;2.88;2.86;2.90
28/4/2003;2.86;2.86;2.88
29/4/2003;2.85;2.85;2.88
30/4/2003;2.83;2.82;2.85
2/5/2003;2.79;2.79;2.81
5/5/2003;2.80;2.80;2.82
6/5/2003;2.80;2.80;2.82
7/5/2003;2.81;2.79;2.82
8/5/2003;2.77;2.76;2.79
9/5/2003;2.76;2.78;2.79
12/5/2003;2.77;2.77;2.79
13/5/2003;2.75;2.77;2.79
14/5/2003;2.77;2.80;2.81
15/5/2003;2.84;2.84;2.87
16/5/2003;2.91;2.94;2.98
19/5/2003;2.95;2.92;2.95
20/5/2003;2.88;2.88;2.90
21/5/2003;2.85;2.84;2.87
23/5/2003;2.89;2.90;2.92
26/5/2003;2.88;2.87;2.90
27/5/2003;2.87;2.87;2.90
28/5/2003;2.88;2.88;2.90
29/5/2003;2.88;2.88;2.90
30/5/2003;2.86;2.85;2.88
2/6/2003;2.85;2.85;2.86
3/6/2003;2.84;2.83;2.85
4/6/2003;2.83;2.82;2.85
5/6/2003;2.82;2.83;2.85
6/6/2003;2.82;2.82;2.84
9/6/2003;2.82;2.81;2.84
10/6/2003;2.81;2.81;2.83
11/6/2003;2.81;2.82;2.84
12/6/2003;2.84;2.83;2.86
13/6/2003;2.83;2.82;2.84
17/6/2003;2.80;2.80;2.82
18/6/2003;2.80;2.79;2.81
19/6/2003;2.80;2.80;2.81
20/6/2003;2.80;2.80;2.82
23/6/2003;2.80;2.79;2.81
24/6/2003;2.77;2.77;2.79
25/6/2003;2.76;2.77;2.79
26/6/2003;2.79;2.79;2.81
27/6/2003;2.79;2.81;2.82
30/6/2003;2.81;2.80;2.82
1/7/2003;2.80;2.80;2.82
3/7/2003;2.80;2.79;2.81
4/7/2003;2.80;2.79;2.81
7/7/2003;2.79;2.78;2.81
8/7/2003;2.78;2.77;2.80
10/7/2003;2.77;2.76;2.79
11/7/2003;2.76;2.76;2.78
14/7/2003;2.76;2.77;2.79
15/7/2003;2.78;2.77;2.80
16/7/2003;2.77;2.78;2.79
17/7/2003;2.79;2.79;2.81
18/7/2003;2.80;2.80;2.83
21/7/2003;2.80;2.80;2.82
22/7/2003;2.79;2.78;2.80
23/7/2003;2.78;2.78;2.80
24/7/2003;2.79;2.81;2.82
25/7/2003;2.82;2.82;2.84
28/7/2003;2.82;2.83;2.84
29/7/2003;2.84;2.84;2.86
30/7/2003;2.88;2.90;2.91
31/7/2003;2.93;2.92;2.94
